Participant,W2V Words,W2V Switches,S2V Words,S2V Switches
CAP-671,0.7093772702257071,,0.7789630041906285,
CAP-671,,0.5561222575511516,,0.6072292752796077
CAP-671,0.6126758427052204,,0.6577824345826482,
CAP-671,,0.4522868760089102,0.5986554247248036,
CAP-671,0.5913816539767758,,0.5859027707692489,
CAP-671,,0.43173834755181767,,0.45158003917380235
CAP-671,0.6985950791001702,,0.6174006090793362,
CAP-671,0.7227680387508737,,0.7144051594165327,
CAP-671,,0.27313960506832596,,0.2409618138322735
CAP-671,0.3405122160576277,,0.3907567885110942,
CAP-671,0.46600302122502246,,,0.3529707135435563
CAP-671,0.7064282852624827,,0.538074262142442,
CAP-671,,0.0,,0.0
CAQ-672,2.0,,2.0,
CAQ-672,,0.0,,0.0
CAQ-672,0.6882396401908035,,0.6119836664337878,
CAQ-672,,0.30189176359621783,,0.29227676350437254
CAQ-672,0.41216494102879014,,0.3098987969102535,
CAQ-672,0.8378177294278359,,0.7681389064993795,
CAQ-672,,0.4019849741535031,,0.507422279598863
CAQ-672,0.4747476233927709,,0.575975015896018,
CAQ-672,0.7398977733098251,,0.6876917554091692,
CAQ-672,0.8745785976068601,,0.8628857048123819,
CAQ-672,,0.5691314542700241,,0.5462200826218395
CAQ-672,0.6555257069153385,,0.6402599256023763,
CAQ-672,0.548383711044663,,0.644600673474528,
CAQ-672,,0.5424227449726353,,0.6139757100054463
CAQ-672,0.6869441198052897,,0.6353870918493768,
CAQ-672,,0.3768427471775159,,0.5110028856697721
CAQ-672,0.5137881417255106,,0.589872041443141,
CAQ-672,0.5465588310106538,,0.5570379712037357,
CAQ-672,,0.5219201059495445,,0.4325735778017402
CAQ-672,0.736472105731918,,0.5838297445501157,
CAQ-672,0.0,,0.0,
CAQ-672,0.0,,0.0,
CAR-673,2.0,,2.0,
CAR-673,,0.0,,0.0
CAR-673,0.8378177294278359,,0.7681389064993795,
CAR-673,0.0,,0.0,
CAR-673,0.0,,0.0,
CAR-673,0.8745785976068601,,0.8628857048123819,
CAR-673,0.7996426462737827,,0.7187751907214063,
CAR-673,0.768353054741348,,0.6719005679353358,
CAR-673,,0.46420997358528854,,0.3508289227805149
CAR-673,0.6867056060139429,,0.49601923537442083,
CAR-673,0.5690045661034961,,0.5081587860342918,
CAR-673,0.0,,0.0,
CAR-673,0.0,,0.0,
CAR-673,0.0,,0.0,
CAR-673,0.0,,0.0,
CAR-673,0.0,,0.0,
CAR-673,0.0,,0.537519691400082,
CAR-673,0.38601421364725547,,0.34513289282418147,
CAR-673,0.0,,0.0,
CAR-673,0.0,,0.0,
CAR-673,0.7910565435481542,,0.7510288782306633,
CAR-673,,0.759641934512523,0.7600411475078961,
CAS-674,2.0,,2.0,
CAS-674,,0.554071626308839,,0.5216253513515097
CAS-674,0.7093772702257071,,0.7789630041906285,
CAS-674,0.531017010293181,,0.6869940691724519,
CAS-674,0.0,,,0.5544358017687971
